issue_id,journal_id,user,notes,created_on,details,property,name,old_value,new_value
208283,1857428,Francis Gomes Santos,,2025-05-09 12:20:44,"[{'property': 'cf', 'name': '396', 'old_value': '', 'new_value': 'SEFAZ - Time 02'}]",cf,396,,SEFAZ - Time 02
208283,1857666,Igor  Silva Freitas Santos,,2025-05-09 14:22:53,"[{'property': 'cf', 'name': '237', 'old_value': '', 'new_value': '2025-05-09'}, {'property': 'attr', 'name': 'status_id', 'old_value': '156', 'new_value': '114'}]",cf,237,,2025-05-09
208283,1857667,Igor  Silva Freitas Santos,,2025-05-09 14:23:07,"[{'property': 'attr', 'name': 'assigned_to_id', 'old_value': '2737', 'new_value': '2287'}]",attr,assigned_to_id,2737,2287
208278,1855262,Ana Poly Ferreira da Silva,,2025-05-06 20:18:57,"[{'property': 'attachment', 'name': '317578', 'new_value': 'Teste Integrado - Excluir  Perfil - Ajustes largura colunas grids.docx'}]",attachment,317578,,Teste Integrado - Excluir  Perfil - Ajustes largura colunas grids.docx
208278,1855264,Ana Poly Ferreira da Silva,,2025-05-06 20:19:50,"[{'property': 'relation', 'name': 'relates', 'new_value': '198362'}]",relation,relates,,198362
208278,1855265,Ana Poly Ferreira da Silva,,2025-05-06 20:20:06,"[{'property': 'attr', 'name': 'status_id', 'old_value': '200', 'new_value': '156'}]",attr,status_id,200,156
208278,1855288,Ana Poly Ferreira da Silva,Retirada a data prevista desenvolvimento copiado do ticket do alterar Perfil (Já com o desenvolvedor).,2025-05-06 20:33:43,"[{'property': 'cf', 'name': '237', 'old_value': '2025-05-07', 'new_value': ''}]",cf,237,2025-05-07,
208278,1855914,Ana Poly Ferreira da Silva,,2025-05-07 18:29:48,"[{'property': 'relation', 'name': 'relates', 'old_value': '198362'}]",relation,relates,198362,
208278,1856484,Ana Poly Ferreira da Silva,,2025-05-08 13:24:04,"[{'property': 'relation', 'name': 'relates', 'new_value': '198362'}]",relation,relates,,198362
208278,1857384,Igor  Silva Freitas Santos,,2025-05-09 11:48:19,"[{'property': 'attr', 'name': 'assigned_to_id', 'old_value': '2243', 'new_value': '2737'}]",attr,assigned_to_id,2243,2737
208278,1857429,Francis Gomes Santos,,2025-05-09 12:20:51,"[{'property': 'cf', 'name': '396', 'old_value': '', 'new_value': 'SEFAZ - Time 02'}]",cf,396,,SEFAZ - Time 02
208278,1857670,Igor  Silva Freitas Santos,,2025-05-09 14:23:27,"[{'property': 'cf', 'name': '237', 'old_value': '', 'new_value': '2025-05-09'}, {'property': 'attr', 'name': 'assigned_to_id', 'old_value': '2737', 'new_value': '2287'}, {'property': 'attr', 'name': 'status_id', 'old_value': '156', 'new_value': '114'}]",cf,237,,2025-05-09
208276,1855253,Gemima de Freitas Machado Muniz,,2025-05-06 20:10:23,"[{'property': 'attachment', 'name': '317573', 'new_value': 'DAC tkt 208189.xlsx'}]",attachment,317573,,DAC tkt 208189.xlsx
208276,1855254,Gemima de Freitas Machado Muniz,,2025-05-06 20:10:30,"[{'property': 'attr', 'name': 'status_id', 'old_value': '1', 'new_value': '154'}]",attr,status_id,1,154
208276,1855256,Gemima de Freitas Machado Muniz,,2025-05-06 20:11:11,"[{'property': 'relation', 'name': 'relates', 'new_value': '208189'}]",relation,relates,,208189
208276,1855257,Gemima de Freitas Machado Muniz,,2025-05-06 20:12:25,"[{'property': 'attr', 'name': 'assigned_to_id', 'old_value': '733', 'new_value': '1802'}]",attr,assigned_to_id,733,1802
208276,1855258,Gemima de Freitas Machado Muniz,,2025-05-06 20:12:33,"[{'property': 'attachment', 'name': '317573', 'old_value': 'DAC tkt 208189.xlsx'}]",attachment,317573,DAC tkt 208189.xlsx,
